,realrinc,prestg10,occ10,education_num,is_male,childs,age,experience_squared,work_experience,age_squared,marital_Married,is_employed,marital_Never Married,marital_Widowed,marital_Separated
realrinc,1.0,0.2933655666595741,-0.19879821107873716,0.3069017594021269,0.2164936105427222,0.04235845694200649,0.1572405238341422,0.04912523557670371,0.10242053680596207,0.1264703585486386,0.12983358804498601,0.13243963618002294,-0.12869767091749099,-0.035548928701139064,-0.026925717980353602
prestg10,0.2933655666595741,1.0,-0.5089258536722571,0.5247620426450169,0.01649668209515625,-0.036263153023583884,0.09482637287159831,-0.022651415168541845,0.002509494445791217,0.07324139389296322,0.11106466095590153,0.07610072735283092,-0.08582118126207529,-0.035732388875286646,-0.039416991830244615
occ10,-0.19879821107873716,-0.5089258536722571,1.0,-0.44893008346196456,0.1340399387218059,0.06269259267330043,-0.07588285075223758,0.007261378431698276,0.0030673588180737564,-0.06737013217224587,-0.01685672959436139,-0.053050198392733935,0.005773870810845166,0.007991852952843999,0.02819687321360491
education_num,0.3069017594021269,0.5247620426450169,-0.44893008346196456,1.0,-0.009372562931938888,-0.1648075458381729,0.038511535473639655,-0.15440500474103794,-0.13621932983089294,0.015535382499009697,0.04358274796863114,0.10400480058221878,0.0111723174627326,-0.0631201669213831,-0.05774515511475881
is_male,0.2164936105427222,0.01649668209515625,0.1340399387218059,-0.009372562931938888,1.0,-0.023664159420391212,0.017677021189782323,0.019435144684885743,0.019184733897950865,0.01892717297092877,0.08994558519947361,0.04967457043587424,0.027211176778939097,-0.09822781501167167,-0.03889239553479506
childs,0.04235845694200649,-0.036263153023583884,0.06269259267330043,-0.1648075458381729,-0.023664159420391212,1.0,0.4104659382029003,0.3676086126640311,0.4356787687326805,0.37724084253397067,0.2707193211129698,-0.007564030993224256,-0.45153225722167084,0.11232785044028736,0.07392414304910966
age,0.1572405238341422,0.09482637287159831,-0.07588285075223758,0.038511535473639655,0.017677021189782323,0.4104659382029003,1.0,0.9371030951704097,0.9846939652196295,0.9849880415033573,0.15345474220994101,-0.008184527268696286,-0.40181665492825547,0.25570249424489705,-0.0011263798507341058
experience_squared,0.04912523557670371,-0.022651415168541845,0.007261378431698276,-0.15440500474103794,0.019435144684885743,0.3676086126640311,0.9371030951704097,1.0,0.9560122598639963,0.9751253387748531,0.09044774093917068,-0.07468868030709244,-0.3110326922185058,0.3037564579536503,-0.007377813733512791
work_experience,0.10242053680596207,0.002509494445791217,0.0030673588180737564,-0.13621932983089294,0.019184733897950865,0.4356787687326805,0.9846939652196295,0.9560122598639963,1.0,0.9738305833894735,0.1445079363021767,-0.026246588125212116,-0.4002798043776775,0.26452575465522743,0.008950668525465857
age_squared,0.1264703585486386,0.07324139389296322,-0.06737013217224587,0.015535382499009697,0.01892717297092877,0.37724084253397067,0.9849880415033573,0.9751253387748531,0.9738305833894735,1.0,0.12200507904433283,-0.04077733021075339,-0.35350016280042534,0.28070907291914193,-0.009937006784493019
marital_Married,0.12983358804498601,0.11106466095590153,-0.01685672959436139,0.04358274796863114,0.08994558519947361,0.2707193211129698,0.15345474220994101,0.09044774093917068,0.1445079363021767,0.12200507904433283,1.0,0.04475198165311119,-0.6117278251776275,-0.20829107931426805,-0.20452915702567362
is_employed,0.13243963618002294,0.07610072735283092,-0.053050198392733935,0.10400480058221878,0.04967457043587424,-0.007564030993224256,-0.008184527268696286,-0.07468868030709244,-0.026246588125212116,-0.04077733021075339,0.04475198165311119,1.0,-0.056034147071546345,-0.03257348656698414,-0.005938483924034295
marital_Never Married,-0.12869767091749099,-0.08582118126207529,0.005773870810845166,0.0111723174627326,0.027211176778939097,-0.45153225722167084,-0.40181665492825547,-0.3110326922185058,-0.4002798043776775,-0.35350016280042534,-0.6117278251776275,-0.056034147071546345,1.0,-0.11132450150601396,-0.10931388192086011
marital_Widowed,-0.035548928701139064,-0.035732388875286646,0.007991852952843999,-0.0631201669213831,-0.09822781501167167,0.11232785044028736,0.25570249424489705,0.3037564579536503,0.26452575465522743,0.28070907291914193,-0.20829107931426805,-0.03257348656698414,-0.11132450150601396,1.0,-0.03722097559109225
marital_Separated,-0.026925717980353602,-0.039416991830244615,0.02819687321360491,-0.05774515511475881,-0.03889239553479506,0.07392414304910966,-0.0011263798507341058,-0.007377813733512791,0.008950668525465857,-0.009937006784493019,-0.20452915702567362,-0.005938483924034295,-0.10931388192086011,-0.03722097559109225,1.0
